t,front_dist,vcmd
58.1,2.934,0.379
58.15,2.946,0.4
58.2,2.94,0.419
58.25,2.95,0.432
58.3,2.935,0.443
58.35,2.945,0.452
58.4,2.941,0.459
58.45,2.935,0.464
58.5,2.947,0.469
58.55,2.95,0.474
58.6,2.935,0.382
58.65,2.956,0.4
58.7,2.944,0.417
58.75,2.948,0.431
58.8,2.945,0.443
58.85,2.934,0.454
58.9,2.941,0.461
58.95,2.943,0.467
59.0,2.939,0.472
59.05,2.94,0.476
59.1,2.946,0.48
59.15,2.957,0.483
59.2,2.932,0.486
59.25,2.933,0.445
59.3,2.94,0.337
59.35,2.938,0.367
59.4,2.939,0.39
59.45,2.941,0.412
59.5,2.938,0.429
59.55,2.93,0.443
59.6,2.939,0.454
59.65,2.946,0.463
59.7,2.943,0.47
59.75,2.945,0.476
59.8,2.933,0.482
59.85,2.931,0.485
59.9,2.947,0.488
59.95,2.941,0.49
60.0,2.949,0.492
60.05,2.938,0.494
60.1,2.94,0.495
60.15,2.947,0.496
60.2,2.944,0.497
60.25,2.929,0.497
60.3,0.726,0.498
60.35,0.68,0.498
60.4,0.66,0.499
60.45,0.663,0.499
60.5,0.665,0.499
60.55,0.674,0.499
60.6,0.671,0.499
60.65,0.667,0.499
60.7,0.664,0.5
60.75,0.668,0.5
60.8,0.666,0.5
60.85,0.666,0.5
60.9,0.669,0.5
60.95,0.672,0.5
61.0,0.678,0.5
61.05,0.681,0.5
61.1,0.696,0.5
61.15,0.704,0.5
61.2,0.713,0.5
61.25,0.723,0.5
61.3,0.748,0.5
61.35,0.768,0.5
61.4,0.784,0.5
61.45,0.802,0.5
61.5,0.815,0.5
61.55,0.838,0.5
61.6,0.856,0.5
61.65,0.877,0.5
61.7,0.914,0.5
61.75,0.937,0.5
61.8,0.953,0.5
61.85,0.977,0.5
61.9,0.996,0.5
61.95,1.053,0.5
62.0,1.091,0.5
62.05,1.118,0.5
62.1,1.156,0.5
62.15,1.186,0.5
62.2,1.246,0.5
62.25,1.332,0.5
62.3,2.946,0.5
62.35,2.944,0.5
